site_id,robot,uid,family,method,current_accepted,predicted_gamma,gamma_origin,probe_count,probe_success,success_by_amplitude,all_directions_radius,direction_radii,actual_prediction_error
panda_trajectory_15_f80,panda,1742dca2b4e66648ef384a591bc48af258b7ccf01a3b1f0930d212a06b1f978c,near_singular,pink_qp,True,0.04778856822759694,common TRAC20 nominal next,147,0.8299319727891157,"{""0.0"":1.0,""0.5"":1.0,""1.0"":1.0,""2.0"":0.8055555555555556,""4.0"":0.5}",1.0,"[4.0,4.0,4.0,4.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,4.0]",0.045556193289147735
panda_trajectory_15_f80,panda,1742dca2b4e66648ef384a591bc48af258b7ccf01a3b1f0930d212a06b1f978c,near_singular,ranged_ik_upstream,True,0.03785182649646091,common TRAC20 nominal next,147,0.8367346938775511,"{""0.0"":1.0,""0.5"":1.0,""1.0"":1.0,""2.0"":0.8333333333333334,""4.0"":0.5}",1.0,"[4.0,4.0,4.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0]",0.045556193289147735
panda_trajectory_15_f80,panda,1742dca2b4e66648ef384a591bc48af258b7ccf01a3b1f0930d212a06b1f978c,near_singular,ranged_ik_positive_range,False,,,0,,,,,
panda_trajectory_15_f80,panda,1742dca2b4e66648ef384a591bc48af258b7ccf01a3b1f0930d212a06b1f978c,near_singular,two_step_predictive,True,0.04061904769331912,optimized nominal next,147,0.8367346938775511,"{""0.0"":1.0,""0.5"":1.0,""1.0"":1.0,""2.0"":0.8333333333333334,""4.0"":0.5}",1.0,"[4.0,4.0,4.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0]",0.045556193289147735
panda_trajectory_15_f80,panda,1742dca2b4e66648ef384a591bc48af258b7ccf01a3b1f0930d212a06b1f978c,near_singular,cr_ik,True,0.06643821695283281,common TRAC20 nominal next,147,0.8299319727891157,"{""0.0"":1.0,""0.5"":1.0,""1.0"":1.0,""2.0"":0.8055555555555556,""4.0"":0.5}",1.0,"[4.0,4.0,4.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0]",0.045556193289147735
panda_trajectory_15_f80,panda,1742dca2b4e66648ef384a591bc48af258b7ccf01a3b1f0930d212a06b1f978c,near_singular,single_step_reserve,True,0.06643821695283281,common TRAC20 nominal next,147,0.8299319727891157,"{""0.0"":1.0,""0.5"":1.0,""1.0"":1.0,""2.0"":0.8055555555555556,""4.0"":0.5}",1.0,"[4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0]",0.045556193289147735
panda_trajectory_15_f80,panda,1742dca2b4e66648ef384a591bc48af258b7ccf01a3b1f0930d212a06b1f978c,near_singular,two_step_sigma,True,0.10187797591695283,optimized nominal next,147,0.8367346938775511,"{""0.0"":1.0,""0.5"":1.0,""1.0"":1.0,""2.0"":0.8333333333333334,""4.0"":0.5}",1.0,"[4.0,4.0,4.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0]",0.045556193289147735
panda_trajectory_15_f110,panda,1742dca2b4e66648ef384a591bc48af258b7ccf01a3b1f0930d212a06b1f978c,near_singular,trac_task_5ms,True,0.489516247833554,common TRAC20 nominal next,147,0.8775510204081632,"{""0.0"":1.0,""0.5"":1.0,""1.0"":1.0,""2.0"":1.0,""4.0"":0.5}",2.0,"[4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0]",0.07003480513963518
panda_trajectory_15_f110,panda,1742dca2b4e66648ef384a591bc48af258b7ccf01a3b1f0930d212a06b1f978c,near_singular,trac_task_20ms,True,0.489516247833554,common TRAC20 nominal next,147,0.8707482993197279,"{""0.0"":1.0,""0.5"":1.0,""1.0"":1.0,""2.0"":0.9722222222222222,""4.0"":0.5}",1.0,"[4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,4.0]",0.07003480513963518
panda_trajectory_15_f110,panda,1742dca2b4e66648ef384a591bc48af258b7ccf01a3b1f0930d212a06b1f978c,near_singular,pink_qp,True,0.4819186129616631,common TRAC20 nominal next,147,0.8707482993197279,"{""0.0"":1.0,""0.5"":1.0,""1.0"":1.0,""2.0"":0.9722222222222222,""4.0"":0.5}",1.0,"[4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,4.0]",0.07003480513963518
panda_trajectory_15_f110,panda,1742dca2b4e66648ef384a591bc48af258b7ccf01a3b1f0930d212a06b1f978c,near_singular,ranged_ik_upstream,True,0.436001287778875,common TRAC20 nominal next,147,0.8775510204081632,"{""0.0"":1.0,""0.5"":1.0,""1.0"":1.0,""2.0"":1.0,""4.0"":0.5}",2.0,"[4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0]",0.07003480513963518
panda_trajectory_15_f110,panda,1742dca2b4e66648ef384a591bc48af258b7ccf01a3b1f0930d212a06b1f978c,near_singular,ranged_ik_positive_range,False,,,0,,,,,
panda_trajectory_15_f110,panda,1742dca2b4e66648ef384a591bc48af258b7ccf01a3b1f0930d212a06b1f978c,near_singular,two_step_predictive,True,0.5032398281932955,optimized nominal next,147,0.8707482993197279,"{""0.0"":1.0,""0.5"":1.0,""1.0"":1.0,""2.0"":0.9722222222222222,""4.0"":0.5}",1.0,"[4.0,4.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0]",0.07003480513963518
panda_trajectory_15_f110,panda,1742dca2b4e66648ef384a591bc48af258b7ccf01a3b1f0930d212a06b1f978c,near_singular,cr_ik,True,0.5062471111477673,optimized nominal next,147,0.8639455782312925,"{""0.0"":1.0,""0.5"":1.0,""1.0"":1.0,""2.0"":0.9444444444444444,""4.0"":0.5}",1.0,"[4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,4.0]",0.07003480513963518
panda_trajectory_15_f110,panda,1742dca2b4e66648ef384a591bc48af258b7ccf01a3b1f0930d212a06b1f978c,near_singular,single_step_reserve,True,0.4315232281667401,common TRAC20 nominal next,147,0.8707482993197279,"{""0.0"":1.0,""0.5"":1.0,""1.0"":1.0,""2.0"":0.9722222222222222,""4.0"":0.5}",1.0,"[4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,4.0]",0.07003480513963518
panda_trajectory_15_f110,panda,1742dca2b4e66648ef384a591bc48af258b7ccf01a3b1f0930d212a06b1f978c,near_singular,two_step_sigma,True,0.35015146035967115,optimized nominal next,147,0.8639455782312925,"{""0.0"":1.0,""0.5"":1.0,""1.0"":1.0,""2.0"":0.9444444444444444,""4.0"":0.5}",1.0,"[4.0,4.0,4.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0]",0.07003480513963518
panda_trajectory_24_f40,panda,125d0ba81f8f99703f34ce79c430375e614edd8d7281141ad9df7e9828fed992,joint_limit_return,trac_task_5ms,True,2.6279396797293697,common TRAC20 nominal next,147,1.0,"{""0.0"":1.0,""0.5"":1.0,""1.0"":1.0,""2.0"":1.0,""4.0"":1.0}",4.0,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0]",0.34888470513125447
panda_trajectory_24_f40,panda,125d0ba81f8f99703f34ce79c430375e614edd8d7281141ad9df7e9828fed992,joint_limit_return,trac_task_20ms,True,2.6279396797293697,common TRAC20 nominal next,147,1.0,"{""0.0"":1.0,""0.5"":1.0,""1.0"":1.0,""2.0"":1.0,""4.0"":1.0}",4.0,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0]",0.34888470513125447
panda_trajectory_24_f40,panda,125d0ba81f8f99703f34ce79c430375e614edd8d7281141ad9df7e9828fed992,joint_limit_return,pink_qp,True,2.6268013957526968,common TRAC20 nominal next,147,1.0,"{""0.0"":1.0,""0.5"":1.0,""1.0"":1.0,""2.0"":1.0,""4.0"":1.0}",4.0,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0]",0.34888470513125447
panda_trajectory_24_f40,panda,125d0ba81f8f99703f34ce79c430375e614edd8d7281141ad9df7e9828fed992,joint_limit_return,ranged_ik_upstream,False,,,0,,,,,
panda_trajectory_24_f40,panda,125d0ba81f8f99703f34ce79c430375e614edd8d7281141ad9df7e9828fed992,joint_limit_return,ranged_ik_positive_range,False,,,0,,,,,
panda_trajectory_24_f40,panda,125d0ba81f8f99703f34ce79c430375e614edd8d7281141ad9df7e9828fed992,joint_limit_return,two_step_predictive,True,2.97198431213917,optimized nominal next,147,1.0,"{""0.0"":1.0,""0.5"":1.0,""1.0"":1.0,""2.0"":1.0,""4.0"":1.0}",4.0,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0]",0.34888470513125447
panda_trajectory_24_f40,panda,125d0ba81f8f99703f34ce79c430375e614edd8d7281141ad9df7e9828fed992,joint_limit_return,cr_ik,True,3.31472307013407,optimized nominal next,147,1.0,"{""0.0"":1.0,""0.5"":1.0,""1.0"":1.0,""2.0"":1.0,""4.0"":1.0}",4.0,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0]",0.34888470513125447
panda_trajectory_24_f40,panda,125d0ba81f8f99703f34ce79c430375e614edd8d7281141ad9df7e9828fed992,joint_limit_return,single_step_reserve,True,2.064082028207892,common TRAC20 nominal next,147,0.9795918367346939,"{""0.0"":1.0,""0.5"":1.0,""1.0"":1.0,""2.0"":1.0,""4.0"":0.9166666666666666}",2.0,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0]",0.34888470513125447
panda_trajectory_24_f40,panda,125d0ba81f8f99703f34ce79c430375e614edd8d7281141ad9df7e9828fed992,joint_limit_return,two_step_sigma,True,2.6672211952347986,optimized nominal next,147,1.0,"{""0.0"":1.0,""0.5"":1.0,""1.0"":1.0,""2.0"":1.0,""4.0"":1.0}",4.0,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0]",0.34888470513125447
panda_trajectory_24_f80,panda,125d0ba81f8f99703f34ce79c430375e614edd8d7281141ad9df7e9828fed992,joint_limit_return,trac_task_5ms,True,2.9546505920326047,common TRAC20 nominal next,147,0.9931972789115646,"{""0.0"":1.0,""0.5"":1.0,""1.0"":1.0,""2.0"":1.0,""4.0"":0.9722222222222222}",2.0,"[2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0]",0.3431728830697502
panda_trajectory_24_f80,panda,125d0ba81f8f99703f34ce79c430375e614edd8d7281141ad9df7e9828fed992,joint_limit_return,trac_task_20ms,True,2.734213631444103,common TRAC20 nominal next,147,0.9931972789115646,"{""0.0"":1.0,""0.5"":1.0,""1.0"":1.0,""2.0"":1.0,""4.0"":0.9722222222222222}",2.0,"[2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0]",0.3431728830697502
panda_trajectory_24_f80,panda,125d0ba81f8f99703f34ce79c430375e614edd8d7281141ad9df7e9828fed992,joint_limit_return,pink_qp,True,2.7862011455866287,common TRAC20 nominal next,147,1.0,"{""0.0"":1.0,""0.5"":1.0,""1.0"":1.0,""2.0"":1.0,""4.0"":1.0}",4.0,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0]",0.3431728830697502
panda_trajectory_24_f80,panda,125d0ba81f8f99703f34ce79c430375e614edd8d7281141ad9df7e9828fed992,joint_limit_return,ranged_ik_upstream,False,,,0,,,,,
